001  00199 |Loss: 1.051 | Acc: 64.679% 
001  00200 |Loss: 1.049 | Acc: 64.754% 
001  00201 |Loss: 1.045 | Acc: 64.867% 
001  00202 |Loss: 1.042 | Acc: 64.964% 
001  00203 |Loss: 1.040 | Acc: 65.067% 
001  00204 |Loss: 1.036 | Acc: 65.173% 
001  00205 |Loss: 1.033 | Acc: 65.278% 
001  00206 |Loss: 1.032 | Acc: 65.341% 
001  00207 |Loss: 1.029 | Acc: 65.429% 
001  00208 |Loss: 1.026 | Acc: 65.539% 
001  00209 |Loss: 1.023 | Acc: 65.647% 
001  00210 |Loss: 1.020 | Acc: 65.759% 
001  00211 |Loss: 1.018 | Acc: 65.818% 
001  00212 |Loss: 1.015 | Acc: 65.909% 
001  00213 |Loss: 1.012 | Acc: 65.995% 
001  00214 |Loss: 1.010 | Acc: 66.085% 
001  00215 |Loss: 1.006 | Acc: 66.195% 
001  00216 |Loss: 1.004 | Acc: 66.265% 
001  00217 |Loss: 1.000 | Acc: 66.377% 
001  00218 |Loss: 0.999 | Acc: 66.446% 
001  00219 |Loss: 0.997 | Acc: 66.549% 
001  00220 |Loss: 0.994 | Acc: 66.648% 
001  00221 |Loss: 0.992 | Acc: 66.714% 
001  00222 |Loss: 0.989 | Acc: 66.825% 
001  00223 |Loss: 0.987 | Acc: 66.918% 
001  00224 |Loss: 0.985 | Acc: 67.003% 
001  00225 |Loss: 0.983 | Acc: 67.087% 
001  00226 |Loss: 0.980 | Acc: 67.174% 
001  00227 |Loss: 0.977 | Acc: 67.263% 
001  00228 |Loss: 0.975 | Acc: 67.342% 
001  00229 |Loss: 0.972 | Acc: 67.437% 
001  00230 |Loss: 0.971 | Acc: 67.510% 
001  00231 |Loss: 0.968 | Acc: 67.617% 
001  00232 |Loss: 0.966 | Acc: 67.672% 
001  00233 |Loss: 0.963 | Acc: 67.744% 
001  00234 |Loss: 0.961 | Acc: 67.832% 
001  00235 |Loss: 0.959 | Acc: 67.899% 
001  00236 |Loss: 0.956 | Acc: 67.985% 
001  00237 |Loss: 0.954 | Acc: 68.054% 
001  00238 |Loss: 0.952 | Acc: 68.126% 
001  00239 |Loss: 0.950 | Acc: 68.201% 
001  00240 |Loss: 0.948 | Acc: 68.278% 
001  00241 |Loss: 0.946 | Acc: 68.371% 
001  00242 |Loss: 0.943 | Acc: 68.437% 
001  00243 |Loss: 0.941 | Acc: 68.506% 
001  00244 |Loss: 0.939 | Acc: 68.584% 
001  00245 |Loss: 0.937 | Acc: 68.635% 
001  00246 |Loss: 0.935 | Acc: 68.699% 
001  00247 |Loss: 0.934 | Acc: 68.753% 
001  00248 |Loss: 0.932 | Acc: 68.816% 
001  00249 |Loss: 0.930 | Acc: 68.891% 
001  00250 |Loss: 0.928 | Acc: 68.944% 
001  00251 |Loss: 0.926 | Acc: 69.018% 
001  00252 |Loss: 0.923 | Acc: 69.100% 
001  00253 |Loss: 0.921 | Acc: 69.176% 
001  00254 |Loss: 0.919 | Acc: 69.261% 
001  00255 |Loss: 0.918 | Acc: 69.314% 
001  00256 |Loss: 0.916 | Acc: 69.388% 
001  00257 |Loss: 0.914 | Acc: 69.470% 
001  00258 |Loss: 0.912 | Acc: 69.528% 
001  00259 |Loss: 0.911 | Acc: 69.586% 
001  00260 |Loss: 0.909 | Acc: 69.651% 
001  00261 |Loss: 0.907 | Acc: 69.720% 
001  00262 |Loss: 0.905 | Acc: 69.776% 
001  00263 |Loss: 0.903 | Acc: 69.858% 
001  00264 |Loss: 0.901 | Acc: 69.925% 
001  00265 |Loss: 0.900 | Acc: 69.973% 
001  00266 |Loss: 0.898 | Acc: 70.033% 
001  00267 |Loss: 0.896 | Acc: 70.102% 
001  00268 |Loss: 0.895 | Acc: 70.158% 
001  00269 |Loss: 0.893 | Acc: 70.220% 
001  00270 |Loss: 0.891 | Acc: 70.275% 
001  00271 |Loss: 0.890 | Acc: 70.330% 
001  00272 |Loss: 0.888 | Acc: 70.390% 
001  00273 |Loss: 0.887 | Acc: 70.433% 
001  00274 |Loss: 0.885 | Acc: 70.504% 
001  00275 |Loss: 0.884 | Acc: 70.565% 
001  00276 |Loss: 0.882 | Acc: 70.621% 
001  00277 |Loss: 0.880 | Acc: 70.671% 
001  00278 |Loss: 0.878 | Acc: 70.723% 
001  00279 |Loss: 0.876 | Acc: 70.786% 
001  00280 |Loss: 0.875 | Acc: 70.831% 
001  00281 |Loss: 0.873 | Acc: 70.882% 
001  00282 |Loss: 0.871 | Acc: 70.961% 
001  00283 |Loss: 0.870 | Acc: 71.011% 
001  00284 |Loss: 0.869 | Acc: 71.052% 
001  00285 |Loss: 0.867 | Acc: 71.096% 
001  00286 |Loss: 0.866 | Acc: 71.157% 
001  00287 |Loss: 0.865 | Acc: 71.181% 
001  00288 |Loss: 0.864 | Acc: 71.227% 
001  00289 |Loss: 0.862 | Acc: 71.291% 
001  00290 |Loss: 0.860 | Acc: 71.344% 
001  00291 |Loss: 0.859 | Acc: 71.394% 
001  00292 |Loss: 0.858 | Acc: 71.442% 
001  00293 |Loss: 0.856 | Acc: 71.496% 
001  00294 |Loss: 0.855 | Acc: 71.540% 
001  00295 |Loss: 0.854 | Acc: 71.570% 
001  00296 |Loss: 0.853 | Acc: 71.595% 
001  00297 |Loss: 0.851 | Acc: 71.644% 
001  00298 |Loss: 0.850 | Acc: 71.694% 
001  00299 |Loss: 0.848 | Acc: 71.747% 
001  00300 |Loss: 0.847 | Acc: 71.773% 
001  00301 |Loss: 0.846 | Acc: 71.831% 
001  00302 |Loss: 0.844 | Acc: 71.891% 
001  00303 |Loss: 0.843 | Acc: 71.937% 
001  00304 |Loss: 0.842 | Acc: 71.975% 
001  00305 |Loss: 0.840 | Acc: 72.031% 
001  00306 |Loss: 0.839 | Acc: 72.074% 
001  00307 |Loss: 0.838 | Acc: 72.122% 
001  00308 |Loss: 0.836 | Acc: 72.174% 
001  00309 |Loss: 0.835 | Acc: 72.219% 
001  00310 |Loss: 0.834 | Acc: 72.256% 
001  00311 |Loss: 0.832 | Acc: 72.322% 
001  00312 |Loss: 0.831 | Acc: 72.373% 
001  00313 |Loss: 0.829 | Acc: 72.414% 
001  00314 |Loss: 0.828 | Acc: 72.465% 
001  00315 |Loss: 0.827 | Acc: 72.515% 
001  00316 |Loss: 0.825 | Acc: 72.577% 
001  00317 |Loss: 0.824 | Acc: 72.624% 
001  00318 |Loss: 0.823 | Acc: 72.676% 
001  00319 |Loss: 0.821 | Acc: 72.722% 
001  00320 |Loss: 0.820 | Acc: 72.771% 
001  00321 |Loss: 0.819 | Acc: 72.817% 
001  00322 |Loss: 0.817 | Acc: 72.872% 
001  00323 |Loss: 0.815 | Acc: 72.930% 
001  00324 |Loss: 0.814 | Acc: 72.970% 
001  00325 |Loss: 0.812 | Acc: 73.022% 
001  00326 |Loss: 0.811 | Acc: 73.066% 
001  00327 |Loss: 0.810 | Acc: 73.110% 
001  00328 |Loss: 0.809 | Acc: 73.168% 
001  00329 |Loss: 0.808 | Acc: 73.212% 
001  00330 |Loss: 0.807 | Acc: 73.243% 
001  00331 |Loss: 0.805 | Acc: 73.289% 
001  00332 |Loss: 0.804 | Acc: 73.348% 
001  00333 |Loss: 0.802 | Acc: 73.407% 
001  00334 |Loss: 0.801 | Acc: 73.452% 
001  00335 |Loss: 0.800 | Acc: 73.491% 
001  00336 |Loss: 0.799 | Acc: 73.521% 
