001  00191 |Loss: 1.935 | Acc: 36.244% 
001  00192 |Loss: 1.930 | Acc: 36.397% 
001  00193 |Loss: 1.925 | Acc: 36.553% 
001  00194 |Loss: 1.920 | Acc: 36.723% 
001  00195 |Loss: 1.914 | Acc: 36.911% 
001  00196 |Loss: 1.909 | Acc: 37.105% 
001  00197 |Loss: 1.905 | Acc: 37.258% 
001  00198 |Loss: 1.900 | Acc: 37.437% 
001  00199 |Loss: 1.895 | Acc: 37.606% 
001  00200 |Loss: 1.890 | Acc: 37.781% 
001  00201 |Loss: 1.886 | Acc: 37.916% 
001  00202 |Loss: 1.880 | Acc: 38.103% 
001  00203 |Loss: 1.875 | Acc: 38.277% 
001  00204 |Loss: 1.870 | Acc: 38.450% 
001  00205 |Loss: 1.865 | Acc: 38.628% 
001  00206 |Loss: 1.860 | Acc: 38.793% 
001  00207 |Loss: 1.854 | Acc: 38.972% 
001  00208 |Loss: 1.849 | Acc: 39.160% 
001  00209 |Loss: 1.843 | Acc: 39.350% 
001  00210 |Loss: 1.839 | Acc: 39.513% 
001  00211 |Loss: 1.834 | Acc: 39.655% 
001  00212 |Loss: 1.829 | Acc: 39.770% 
001  00213 |Loss: 1.826 | Acc: 39.895% 
001  00214 |Loss: 1.821 | Acc: 40.070% 
001  00215 |Loss: 1.816 | Acc: 40.222% 
001  00216 |Loss: 1.812 | Acc: 40.379% 
001  00217 |Loss: 1.808 | Acc: 40.503% 
001  00218 |Loss: 1.803 | Acc: 40.654% 
001  00219 |Loss: 1.798 | Acc: 40.807% 
001  00220 |Loss: 1.793 | Acc: 40.977% 
001  00221 |Loss: 1.788 | Acc: 41.148% 
001  00222 |Loss: 1.783 | Acc: 41.315% 
001  00223 |Loss: 1.778 | Acc: 41.508% 
001  00224 |Loss: 1.773 | Acc: 41.675% 
001  00225 |Loss: 1.768 | Acc: 41.833% 
001  00226 |Loss: 1.764 | Acc: 42.011% 
001  00227 |Loss: 1.759 | Acc: 42.170% 
001  00228 |Loss: 1.754 | Acc: 42.331% 
001  00229 |Loss: 1.750 | Acc: 42.477% 
001  00230 |Loss: 1.746 | Acc: 42.632% 
001  00231 |Loss: 1.742 | Acc: 42.752% 
001  00232 |Loss: 1.738 | Acc: 42.891% 
001  00233 |Loss: 1.734 | Acc: 43.043% 
001  00234 |Loss: 1.729 | Acc: 43.182% 
001  00235 |Loss: 1.725 | Acc: 43.344% 
001  00236 |Loss: 1.721 | Acc: 43.475% 
001  00237 |Loss: 1.717 | Acc: 43.615% 
001  00238 |Loss: 1.712 | Acc: 43.789% 
001  00239 |Loss: 1.708 | Acc: 43.936% 
001  00240 |Loss: 1.704 | Acc: 44.082% 
001  00241 |Loss: 1.699 | Acc: 44.249% 
